brand	item_id	item_name	products	brand_total	scans	coverage	share
mars wrigley	chocolate_bar	Chocolate Bar	2	2	245	1.0	1.0
fiorini	pasta	Pasta	5	11	243	0.45	1.0
phare d'eckmühl	olive_oil	Olive Oil	5	19	241	0.32	0.83
exquisa	cream_cheese	Cream Cheese	5	5	237	1.0	1.0
tartare	cream_cheese	Cream Cheese	2	3	235	0.67	1.0
mont blanc	mineral_water	Mineral Water	2	4	235	0.5	1.0
le jardin de corentin	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	2	2	233	1.0	1.0
müller	fruit_kefir	Fruit Kefir	2	6	232	0.5	0.67
rxbar	granola_bar	Granola Bar	4	4	231	1.0	1.0
pip & nut	peanut_butter	Peanut Butter	3	7	231	0.57	0.75
alpina	pasta	Pasta	3	4	229	0.75	1.0
l'artisan tartineur	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	3	3	229	1.0	1.0
maison colibri	cookies	Cookies	5	5	228	1.0	1.0
lizi's	muesli	Muesli	3	3	228	1.0	1.0
nongshim	pasta	Pasta	4	4	226	1.0	1.0
yeo valley	fruit_kefir	Fruit Kefir	5	15	224	0.4	0.83
fitness	breakfast_cereal	Breakfast Cereal	2	2	224	1.0	1.0
ebro foods	pasta	Pasta	3	4	222	0.75	1.0
petits filous pots	cream_cheese	Cream Cheese	3	3	220	1.0	1.0
n.a! nature addicts	cookies	Cookies	2	3	220	0.67	1.0
papadopoulos	cookies	Cookies	2	2	218	1.0	1.0
ritz	cookies	Cookies	3	3	216	1.0	1.0
intersnack	potato_chips	Potato Chips	5	9	215	0.78	0.71
mondariz	mineral_water	Mineral Water	3	3	214	1.0	1.0
ajinomoto	pasta	Pasta	5	5	213	1.0	1.0
cereal bio	cookies	Cookies	2	6	212	0.33	1.0
le savoureux	olive_oil	Olive Oil	3	3	212	1.0	1.0
alpina savoie	pasta	Pasta	2	3	211	0.67	1.0
wattwiller	mineral_water	Mineral Water	2	2	211	1.0	1.0
joseph favrichon	muesli	Muesli	2	5	209	0.6	0.67
villars	chocolate_bar	Chocolate Bar	2	6	209	0.33	1.0
sant'anna	mineral_water	Mineral Water	3	3	209	1.0	1.0
post	breakfast_cereal	Breakfast Cereal	4	4	208	1.0	1.0
soléou	olive_oil	Olive Oil	3	4	205	0.75	1.0
balisto	chocolate_bar	Chocolate Bar	5	6	204	1.0	0.83
turini	pasta	Pasta	3	5	201	0.6	1.0
lustucru selection	pasta	Pasta	4	6	200	0.67	1.0
ferrero rocher	chocolate_bar	Chocolate Bar	2	4	197	0.5	1.0
la molisana	pasta	Pasta	5	5	197	1.0	1.0
allergo	cookies	Cookies	2	2	196	1.0	1.0
costa d'oro	olive_oil	Olive Oil	3	3	196	1.0	1.0
yop gf	drinking_yogurt	Drinking Yogurt	3	3	194	1.0	1.0
